date,open,high,low,close,volume,ticker
2024-09-20,3793.0,3819.0,3740.0,3797.2,1951755.0,Fintrix
2024-09-23,3797.2,3829.0,3781.0,3820.1,530107.0,Fintrix
2024-09-24,3818.0,3839.9,3781.55,3784.9,1281513.0,Fintrix
2024-09-25,3800.0,3803.55,3710.05,3737.25,942343.0,Fintrix
2024-09-26,3738.0,3777.15,3701.4,3757.55,1863893.0,Fintrix
2024-09-27,3774.0,3867.0,3751.2,3816.7,2164755.0,Fintrix
2024-09-30,3786.0,3863.55,3786.0,3823.95,1068609.0,Fintrix
2024-10-01,3823.95,3837.95,3757.0,3775.95,774221.0,Fintrix
2024-10-03,3689.1,3782.0,3650.05,3674.95,1597560.0,Fintrix
2024-10-04,3625.0,3753.8,3625.0,3670.1,1542987.0,Fintrix
2024-10-07,3739.95,3748.0,3552.3,3589.25,2523321.0,Fintrix
2024-10-08,3589.25,3595.0,3480.0,3493.35,1360120.0,Fintrix
2024-10-09,3518.0,3558.8,3486.6,3493.45,1063802.0,Fintrix
2024-10-10,3510.0,3531.55,3415.1,3447.25,1488328.0,Fintrix
2024-10-11,3464.0,3491.0,3444.3,3474.4,858463.0,Fintrix
2024-10-14,3474.4,3525.0,3452.55,3497.8,593206.0,Fintrix
2024-10-15,3523.95,3529.45,3477.0,3508.5,578719.0,Fintrix
2024-10-16,3508.0,3510.0,3440.0,3471.0,591644.0,Fintrix
2024-10-17,3487.0,3487.0,3380.1,3403.35,560796.0,Fintrix
2024-10-18,3395.0,3422.35,3296.1,3381.45,1249585.0,Fintrix
2024-10-21,3417.95,3419.85,3335.5,3363.25,714746.0,Fintrix
2024-10-22,3374.9,3421.5,3319.25,3329.8,882086.0,Fintrix
2024-10-23,3330.0,3335.0,3282.5,3288.6,877837.0,Fintrix
2024-10-24,3301.05,3342.9,3279.2,3330.9,764369.0,Fintrix
2024-10-25,3332.0,3342.35,3232.35,3266.55,805013.0,Fintrix
2024-10-28,3270.0,3315.0,3254.05,3283.05,736462.0,Fintrix
2024-10-29,3285.8,3298.0,3227.0,3283.4,702769.0,Fintrix
2024-10-30,3261.0,3321.8,3235.1,3308.45,895278.0,Fintrix
2024-10-31,3291.0,3299.9,3253.6,3267.05,1170306.0,Fintrix
2024-11-01,3304.0,3317.6,3282.35,3293.7,176636.0,Fintrix
2024-11-04,3318.0,3318.0,3190.1,3222.0,1122152.0,Fintrix
2024-11-05,3206.0,3258.9,3185.0,3230.25,872402.0,Fintrix
2024-11-06,3145.0,3208.95,3114.0,3177.05,4522923.0,Fintrix
2024-11-07,3180.0,3186.05,3108.1,3120.85,1608603.0,Fintrix
2024-11-08,3121.0,3192.9,3106.0,3186.25,1719882.0,Fintrix
2024-11-11,3191.6,3230.05,3158.25,3206.6,1054929.0,Fintrix
2024-11-12,3201.65,3239.0,3185.0,3198.45,992983.0,Fintrix
2024-11-13,3175.0,3221.6,3162.2,3187.85,911537.0,Fintrix
2024-11-14,3145.05,3195.15,3136.0,3183.7,1161637.0,Fintrix
2024-11-18,3183.7,3207.2,3157.5,3172.3,943251.0,Fintrix
2024-11-19,3192.0,3283.0,3172.3,3224.7,1174506.0,Fintrix
2024-11-21,3225.0,3233.95,3148.35,3178.45,1582159.0,Fintrix
2024-11-22,3174.85,3317.0,3152.15,3308.7,2207527.0,Fintrix
2024-11-25,3360.0,3369.85,3298.05,3309.1,1892510.0,Fintrix
2024-11-26,3310.0,3343.75,3295.7,3327.5,721345.0,Fintrix
2024-11-27,3325.0,3329.9,3280.15,3291.65,732835.0,Fintrix
2024-11-28,3292.0,3305.0,3200.35,3212.35,1701387.0,Fintrix
2024-11-29,3212.35,3260.0,3212.35,3249.0,1139585.0,Fintrix
2024-12-02,3249.0,3309.9,3222.05,3306.85,915980.0,Fintrix
2024-12-03,3290.0,3338.7,3276.6,3332.75,1162310.0,Fintrix
2024-12-04,3342.0,3383.0,3338.0,3364.45,1630076.0,Fintrix
2024-12-05,3374.95,3465.4,3353.6,3441.05,2383630.0,Fintrix
2024-12-06,3453.95,3499.65,3430.0,3470.1,1278516.0,Fintrix
2024-12-09,3467.5,3488.25,3446.9,3468.2,926422.0,Fintrix
2024-12-10,3470.0,3516.95,3436.05,3475.75,1063355.0,Fintrix
2024-12-11,3484.75,3490.75,3460.3,3473.1,554702.0,Fintrix
2024-12-12,3470.5,3473.1,3412.0,3445.75,926472.0,Fintrix
2024-12-13,3420.0,3518.0,3380.25,3508.85,1242351.0,Fintrix
2024-12-16,3505.0,3511.0,3429.0,3438.2,1295227.0,Fintrix
2024-12-17,3422.05,3449.4,3397.6,3406.1,1005604.0,Fintrix
2024-12-18,3401.2,3424.0,3390.0,3401.9,646145.0,Fintrix
2024-12-19,3349.6,3399.95,3332.0,3356.85,732634.0,Fintrix
2024-12-20,3350.0,3419.0,3333.15,3356.25,1235769.0,Fintrix
2024-12-23,3378.1,3406.3,3336.65,3396.95,691202.0,Fintrix
2024-12-24,3385.35,3419.0,3338.2,3353.4,485245.0,Fintrix
2024-12-26,3365.0,3371.85,3312.65,3323.05,637094.0,Fintrix
2024-12-27,3319.85,3345.0,3301.1,3309.2,568989.0,Fintrix
2024-12-30,3309.95,3317.95,3247.45,3257.35,941859.0,Fintrix
2024-12-31,3250.0,3275.65,3230.8,3253.15,616440.0,Fintrix
2025-01-01,3248.0,3269.9,3244.05,3253.85,357376.0,Fintrix
2025-01-02,3264.0,3400.95,3251.0,3388.95,1152493.0,Fintrix
2025-01-03,3395.0,3481.95,3377.95,3451.65,1630862.0,Fintrix
2025-01-06,3490.0,3528.5,3441.2,3470.4,2145936.0,Fintrix
2025-01-07,3490.0,3576.7,3485.0,3505.1,2389563.0,Fintrix
2025-01-08,3487.65,3514.5,3391.3,3484.05,1317377.0,Fintrix
2025-01-09,3485.95,3506.45,3461.55,3487.05,826237.0,Fintrix
2025-01-10,3462.0,3488.0,3428.75,3440.25,570060.0,Fintrix
2025-01-13,3380.0,3467.0,3352.5,3382.75,1282557.0,Fintrix
2025-01-14,3400.0,3429.0,3310.0,3322.5,1133561.0,Fintrix
2025-01-15,3322.0,3340.5,3283.0,3323.5,1169593.0,Fintrix
2025-01-16,3327.0,3338.85,3282.0,3316.9,1170734.0,Fintrix
2025-01-17,3319.9,3368.0,3285.05,3357.4,559153.0,Fintrix
2025-01-20,3374.1,3407.7,3347.5,3382.25,722342.0,Fintrix
2025-01-21,3400.95,3412.7,3335.15,3353.35,1016047.0,Fintrix
2025-01-22,3354.8,3385.0,3334.65,3356.45,598329.0,Fintrix
2025-01-23,3356.45,3433.0,3325.5,3398.55,713603.0,Fintrix
2025-01-24,3407.0,3447.65,3380.45,3402.15,564244.0,Fintrix
2025-01-27,3388.0,3401.95,3307.25,3319.35,618309.0,Fintrix
2025-01-28,3319.35,3370.85,3299.55,3325.9,579957.0,Fintrix
2025-01-29,3339.2,3375.0,3309.05,3370.75,570137.0,Fintrix
2025-01-30,3370.65,3390.0,3345.2,3368.4,688608.0,Fintrix
2025-01-31,3400.0,3527.45,3392.4,3490.25,1212261.0,Fintrix
2025-02-01,3527.0,3635.15,3408.0,3552.0,2186692.0,Fintrix
2025-02-03,3565.0,3642.55,3551.75,3580.3,1543897.0,Fintrix
2025-02-04,3590.0,3614.0,3520.0,3597.7,1279779.0,Fintrix
2025-02-05,3596.0,3652.0,3472.2,3490.9,2165947.0,Fintrix
2025-02-06,3490.9,3504.25,3397.85,3410.75,1059617.0,Fintrix
2025-02-07,3414.9,3453.9,3388.2,3424.8,740155.0,Fintrix
2025-02-10,3415.0,3425.0,3311.0,3327.45,904436.0,Fintrix
2025-02-11,3334.7,3348.0,3271.6,3281.8,903965.0,Fintrix
2025-02-12,3282.75,3317.4,3212.6,3255.45,774619.0,Fintrix
2025-02-13,3250.25,3277.95,3215.2,3231.5,727243.0,Fintrix
2025-02-14,3236.3,3253.0,3186.45,3213.25,587411.0,Fintrix
2025-02-17,3195.25,3238.5,3176.0,3233.2,712614.0,Fintrix
2025-02-18,3234.8,3244.0,3192.3,3221.85,592636.0,Fintrix
2025-02-19,3220.0,3253.65,3191.8,3210.3,521953.0,Fintrix
2025-02-20,3210.0,3218.65,3188.15,3191.45,653151.0,Fintrix
2025-02-21,3191.45,3205.95,3162.25,3179.9,407794.0,Fintrix
2025-02-24,3131.0,3187.95,3131.0,3173.0,431232.0,Fintrix
2025-02-25,3140.0,3211.5,3136.55,3198.8,642281.0,Fintrix
2025-02-27,3198.8,3228.0,3176.95,3223.1,604023.0,Fintrix
2025-02-28,3202.0,3217.95,3060.0,3077.25,1322618.0,Fintrix
2025-03-03,3090.0,3102.1,3057.75,3082.0,516171.0,Fintrix
2025-03-04,3050.0,3070.0,3017.0,3048.5,1186136.0,Fintrix
2025-03-05,3048.5,3107.45,3035.7,3086.55,579883.0,Fintrix
2025-03-06,3091.2,3131.65,3047.0,3121.1,1399483.0,Fintrix
2025-03-07,3121.1,3124.6,3074.65,3079.35,1020056.0,Fintrix
2025-03-10,3080.0,3083.0,3021.1,3026.8,855408.0,Fintrix
2025-03-11,3015.0,3055.9,3010.0,3046.4,576260.0,Fintrix
2025-03-12,3037.4,3053.8,2996.05,3018.95,489535.0,Fintrix
2025-03-13,3019.4,3049.5,3000.3,3010.15,785215.0,Fintrix
2025-03-17,2985.05,3036.4,2985.05,3017.35,632348.0,Fintrix
2025-03-18,3030.75,3088.0,3015.4,3081.7,865951.0,Fintrix
2025-03-19,3088.05,3095.0,3058.2,3076.3,730983.0,Fintrix
2025-03-20,3100.0,3205.0,3080.0,3193.1,1542807.0,Fintrix
2025-03-21,3186.95,3190.0,3154.95,3162.7,1181974.0,Fintrix
2025-03-24,3168.2,3175.95,3075.0,3079.1,1481216.0,Fintrix
2025-03-25,3085.0,3099.95,3046.0,3053.7,1174346.0,Fintrix
2025-03-26,3068.95,3077.75,3034.55,3057.5,1010449.0,Fintrix
2025-03-27,3047.55,3097.7,3047.55,3087.65,1635143.0,Fintrix
2025-03-28,3094.0,3111.8,3051.05,3063.35,778417.0,Fintrix
2025-04-01,3053.7,3075.7,2982.0,2986.95,1068622.0,Fintrix
2025-04-02,3011.0,3105.0,2971.15,3098.45,1674921.0,Fintrix
2025-04-03,3071.0,3151.0,3068.0,3127.55,1115568.0,Fintrix
2025-04-04,3099.0,3114.9,3050.0,3076.2,901801.0,Fintrix
2025-04-07,2925.0,3048.0,2925.0,3022.2,1378989.0,Fintrix
2025-04-08,3149.7,3227.25,3101.0,3122.3,2830156.0,Fintrix
2025-04-09,3137.85,3188.25,3090.7,3174.15,1215988.0,Fintrix
2024-09-02,7115.0,7115.0,7115.0,7115.0,1009200.0,Zentara
2024-09-02,7179.25,7267.75,7111.35,7148.2,625283.0,Zentara
2024-09-03,7179.0,7180.0,6995.0,7042.8,857908.0,Zentara
2024-09-04,6966.0,6966.0,6966.0,6966.0,121100.0,Zentara
2024-09-04,7043.0,7168.95,6950.05,7139.9,576206.0,Zentara
2024-09-05,7169.9,7209.0,7090.25,7167.65,667571.0,Zentara
2024-09-06,7184.9,7189.95,7060.0,7103.55,384793.0,Zentara
2024-09-09,7020.0,7020.0,7020.0,7020.0,1018500.0,Zentara
2024-09-09,7104.0,7155.7,7048.05,7136.65,349967.0,Zentara
2024-09-10,7080.0,7080.0,7080.0,7080.0,119900.0,Zentara
2024-09-10,7156.0,7200.0,7095.5,7137.95,376043.0,Zentara
2024-09-11,7160.95,7219.65,7107.7,7148.85,428437.0,Zentara
2024-09-12,7198.0,7309.0,7142.85,7210.5,572357.0,Zentara
2024-09-13,7248.5,7281.1,7200.05,7233.15,468707.0,Zentara
2024-09-16,7270.0,7384.95,7211.0,7318.8,502100.0,Zentara
2024-09-17,7330.0,7330.0,7330.0,7330.0,1095820.0,Zentara
2024-09-17,7415.0,7508.8,7325.0,7403.45,753643.0,Zentara
2024-09-18,7435.0,7453.0,7245.85,7336.0,388287.0,Zentara
2024-09-19,7456.0,7456.0,7183.55,7326.15,395523.0,Zentara
2024-09-20,7350.0,7508.0,7281.85,7465.15,798170.0,Zentara
2024-09-23,7520.95,7645.0,7464.15,7623.45,510496.0,Zentara
2024-09-24,7533.0,7533.0,7533.0,7533.0,1073330.0,Zentara
2024-09-24,7639.95,7682.0,7580.6,7621.35,613798.0,Zentara
2024-09-25,7618.25,7742.0,7569.55,7614.9,576171.0,Zentara
2024-09-26,7724.9,7939.9,7710.55,7845.4,1712253.0,Zentara
2024-09-27,7899.95,7937.95,7736.4,7833.7,11179751.0,Zentara
2024-09-30,7465.0,7465.0,7465.0,7465.0,1083570.0,Zentara
2024-09-30,7814.75,7833.95,7483.75,7574.65,1117618.0,Zentara
2024-10-01,7600.0,7647.45,7522.25,7612.7,559721.0,Zentara
2024-10-03,7569.5,7654.5,7451.0,7487.9,741293.0,Zentara
2024-10-04,7441.0,7455.95,7272.0,7353.3,938897.0,Zentara
2024-10-07,7307.2,7503.9,7284.0,7449.5,854385.0,Zentara
2024-10-08,7940.0,7940.0,7940.0,7940.0,1068120.0,Zentara
2024-10-08,7520.0,8073.4,7451.0,8041.95,2278240.0,Zentara
2024-10-09,8089.0,8322.2,8035.0,8220.85,1260784.0,Zentara
2024-10-10,8200.0,8270.95,8012.0,8028.85,606292.0,Zentara
2024-10-11,8069.0,8308.8,7950.0,8234.95,800644.0,Zentara
2024-10-14,8115.0,8115.0,8115.0,8115.0,1042690.0,Zentara
2024-10-14,8280.05,8345.0,8163.7,8191.85,417498.0,Zentara
2024-10-15,8224.0,8260.0,8090.0,8124.25,460534.0,Zentara
2024-10-16,8110.0,8133.1,7766.5,7805.8,900545.0,Zentara
2024-10-17,7780.3,7880.05,7620.2,7719.65,997450.0,Zentara
2024-10-18,7720.0,7800.0,7630.1,7768.05,571161.0,Zentara
2024-10-21,7820.0,7850.0,7552.5,7606.55,662166.0,Zentara
2024-10-22,7465.0,7465.0,7465.0,7465.0,1134840.0,Zentara
2024-10-22,7634.95,7666.5,7469.4,7497.35,610564.0,Zentara
2024-10-23,7468.0,7585.0,7450.0,7511.3,505590.0,Zentara
2024-10-24,7569.2,7640.4,7386.75,7488.0,448738.0,Zentara
2024-10-25,7450.0,7511.2,7064.05,7361.45,590268.0,Zentara
2024-10-28,7255.0,7255.0,7255.0,7255.0,1156170.0,Zentara
2024-10-28,7362.25,7429.0,7222.15,7307.85,419026.0,Zentara
2024-10-29,7313.3,7446.1,7164.45,7410.3,359440.0,Zentara
2024-10-30,7420.0,7428.8,7215.0,7252.45,481764.0,Zentara
2024-10-31,7259.0,7273.85,7071.0,7128.35,742508.0,Zentara
2024-11-01,7153.95,7214.9,7125.0,7149.0,76497.0,Zentara
2024-11-04,6985.0,6985.0,6985.0,6985.0,1200920.0,Zentara
2024-11-04,7109.0,7150.3,6950.0,7063.75,681708.0,Zentara
2024-11-05,7006.0,7078.5,6794.05,6968.35,1026360.0,Zentara
2024-11-06,7024.0,7236.0,6801.1,6955.45,1142746.0,Zentara
